verb,sentence,verb_idx,label,definition
dissolving,"Jamie Securities Inc . , once one of Wall Street 's most powerful arbitrage firms , is dissolving because of the continuing legal problems of John A. Mulheren Jr . , its managing partner arrested for allegedly threatening to kill insider trader Ivan F. Boesky",17,1,"break up , disperse"
targeting,"Thus , Japanese companies would have to fight it out with foreign rivals that are targeting the same niche , including Fokker B.V. of the Netherlands , British Aerospace PLC , MBB and Boeing",15,1,to direct or use toward a target
grab,"And expense - account fliers , who learned long ago to construct elaborate flight schemes to earn extra mileage , now are battling to pick up dinner tabs to grab mileage linked to charge - card purchases",29,1,to obtain without consideration of what is right or wrong
fixed,We begged his mother for months to let us take him into Nha Trang and have it fixed,17,0,"repair , mend"
riding,Miss Walker was riding in the Jeep at the time of the accident,3,0,to become supported on a point or surface
grabbed,"His one spectacular crime came in the wee hours of Aug. 8 , 1963 , his 34th birthday , when he and his pals grabbed 120 sacks of well - worn bank notes being sent to London for pulping",24,0,to obtain without consideration of what is right or wrong
stick,"And it 's far from certain that the latest increases on business fares will stick -- already , the airlines have postponed the move for seven days , and some smaller carriers such as Midway Airlines say they wo n't match the increases",14,1,"to remain in a place, situation, or environment"
absorb,"And the $ 300 million sunflower industry is faring far worse than the $ 10.5 billion soybean industry , which is large enough to absorb short - term setbacks",24,1,"endure , sustain"
fill,"Baaron Pittenger , a long - time USOC aide who had served as acting executive director after Mr. Miller left , was named to fill the vacant post until year end , when Mr. Schiller 's contract expires",24,0,to place a person in
struck,The move struck some analysts as an interim one because of Mr. Thomas 's age and background,2,1,inflict
ate,"The Cincinnati Dancing Pigs Jug Band played '' Coney Island Washboard Roundelay '' and I ate cold noodle salad , fried wontons and a big RC",15,0,"to take in through the mouth as food : ingest, chew, and swallow in turn"
rest,"By the time he was laid to rest in a solemn procession of 100 garbage trucks , a frenzied struggle for control of his empire was under way",7,1,to get rest by lying down ; especially : sleep
pumping,Other investigators say faulty idling valves can make cars surge by suddenly pumping extra air into the engines,12,0,"to pour forth, deliver, or draw with or as if with a pump"
smooth,"In effect , the deficit has helped smooth out the wide swings in U.S. demand",7,1,to free from what is harsh or disagreeable : polish
drags,"The usually buoyant muscle man drags his way through the picture , though director Walter Hill probably should share the guilt for Arnold 's apparent lethargy",5,1,to move slowly because of fatigue
kicks,"Says William Beadle , president of the Better Business Bureau of Utah : '' When greed kicks in , common sense many times just flies right out the window . '",16,1,to function with vitality and energy
fixed,"The debentures will carry a rate that 's fixed , but can increase based on natural gas prices",8,0,not subject to change or fluctuation
drown,"Here in Ohio , some Democrats worry that Mr. Bush 's dismissal of his opponent as a Massachusetts liberal may drown out the Democrat 's message on the economy",20,1,to cause (a sound) not to be heard by making a loud noise
examining,"Prompted by news reports of alleged misappropriation of funds , the SEC visited the firm 's New York headquarters last week with the intention of examining business records",25,0,to inquire into carefully : investigate
escape,"Before , a corporation owner could give heirs common stock to freeze asset values at that point for them ; future asset appreciation would escape estate tax , and the parent could keep control and income through preferred stock",24,1,to get or stay out of the way of : avoid
attacked,"On the stage , looking tired from ceaseless concertizing at just about every summer festival there is , Vladimir Feltsman attacked his recital program with typical confidence and power",20,1,to set to work on
escape,"In 1981 , he and his second wife were able to escape Cuba by joining a group tour of Czechoslovakia",11,0,to get away (as by flight)
missing,"The tape , which is in the possession of Century 's lawyers , shows cars with missing hubcaps , burned seats , body repairs , flat tires and cracked windows",16,0,"to fail to get, reach, or do something"
rest,"Franklin Phillips , he ruled , would rest in peace as Harry Fisher",7,1,to lie dead
stuck,"Next time he should produce his own movie , as he has here , so that if it becomes a blockbuster he is n't stuck with his director 's salary of a paltry million or two",24,1,"to become blocked, wedged, or jammed"
withering,But the OTC market was withering badly near the close and traders said if there was more time prices would have fallen further,5,1,"to lose vitality, force, or freshness"
attacked,But international groups that attacked Mr. Jenninger 's remarks may find themselves among the losers,4,1,to assail with unfriendly or bitter words
targeted,A former Navy intelligence aide said the U.S. targeted the French Embassy when it bombed Libya in 1986,8,0,to make a target of ; especially : to set as a goal
step,"Separately , the FAA expanded a directive to all airlines to step up their inspections of older Boeing 737 planes for possible metal fatigue , cracks and corrosion in the wake of the Aloha accident",11,1,to move by raising the foot and bringing it down elsewhere or by moving each foot in succession
